archive_id,exchange,market_path,dataset_name,dataset,kind,symbol,interval,period,period_start,period_end,url,checksum_url,relative_path,plan_status
89fc152958ae79cecdc9,binance,spot,spot_klines,klines,kline,BTCUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip.CHECKSUM,binance/spot/klines/BTCUSDT/1m/2024/01/BTCUSDT-1m-2024-01.zip,candidate_unverified
c38a96eaff3597b0864c,binance,spot,spot_klines,klines,kline,ETHUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/spot/monthly/klines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip,https://data.binance.vision/data/spot/monthly/klines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip.CHECKSUM,binance/spot/klines/ETHUSDT/1m/2024/01/ETHUSDT-1m-2024-01.zip,candidate_unverified
cad04c03c8df410cf2e0,binance,spot,spot_klines,klines,kline,SOLUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/spot/monthly/klines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip,https://data.binance.vision/data/spot/monthly/klines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip.CHECKSUM,binance/spot/klines/SOLUSDT/1m/2024/01/SOLUSDT-1m-2024-01.zip,candidate_unverified
6fd2297d4698fd8284a7,binance,spot,spot_klines,klines,kline,XRPUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/spot/monthly/klines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip,https://data.binance.vision/data/spot/monthly/klines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip.CHECKSUM,binance/spot/klines/XRPUSDT/1m/2024/01/XRPUSDT-1m-2024-01.zip,candidate_unverified
ff3b6988d5e493afb80e,binance,futures/um,um_index_price_klines,indexPriceKlines,reference_kline,BTCUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/indexPriceKlines/BTCUSDT/1m/2024/01/BTCUSDT-1m-2024-01.zip,candidate_unverified
07a922590438d59ff6d6,binance,futures/um,um_index_price_klines,indexPriceKlines,reference_kline,ETHUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/indexPriceKlines/ETHUSDT/1m/2024/01/ETHUSDT-1m-2024-01.zip,candidate_unverified
1c5c313e1c036c52b7c3,binance,futures/um,um_index_price_klines,indexPriceKlines,reference_kline,SOLUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/indexPriceKlines/SOLUSDT/1m/2024/01/SOLUSDT-1m-2024-01.zip,candidate_unverified
2643f9dce4de9cfb4ada,binance,futures/um,um_index_price_klines,indexPriceKlines,reference_kline,XRPUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/indexPriceKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/indexPriceKlines/XRPUSDT/1m/2024/01/XRPUSDT-1m-2024-01.zip,candidate_unverified
1547f1539f780970cfe2,binance,futures/um,um_mark_price_klines,markPriceKlines,reference_kline,BTCUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/markPriceKlines/BTCUSDT/1m/2024/01/BTCUSDT-1m-2024-01.zip,candidate_unverified
0e3467b4029ad5f8c7fe,binance,futures/um,um_mark_price_klines,markPriceKlines,reference_kline,ETHUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/markPriceKlines/ETHUSDT/1m/2024/01/ETHUSDT-1m-2024-01.zip,candidate_unverified
3eabae3a25d010b55295,binance,futures/um,um_mark_price_klines,markPriceKlines,reference_kline,SOLUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/markPriceKlines/SOLUSDT/1m/2024/01/SOLUSDT-1m-2024-01.zip,candidate_unverified
e139584ac537ab4086fa,binance,futures/um,um_mark_price_klines,markPriceKlines,reference_kline,XRPUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/markPriceKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/markPriceKlines/XRPUSDT/1m/2024/01/XRPUSDT-1m-2024-01.zip,candidate_unverified
42bdc948bd4b88fa27ae,binance,futures/um,um_premium_index_klines,premiumIndexKlines,reference_kline,BTCUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/premiumIndexKlines/BTCUSDT/1m/2024/01/BTCUSDT-1m-2024-01.zip,candidate_unverified
cfa03c0cfe593324e9c6,binance,futures/um,um_premium_index_klines,premiumIndexKlines,reference_kline,ETHUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/premiumIndexKlines/ETHUSDT/1m/2024/01/ETHUSDT-1m-2024-01.zip,candidate_unverified
8abc38d549925e406f1c,binance,futures/um,um_premium_index_klines,premiumIndexKlines,reference_kline,SOLUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/premiumIndexKlines/SOLUSDT/1m/2024/01/SOLUSDT-1m-2024-01.zip,candidate_unverified
9a99678689035d26092f,binance,futures/um,um_premium_index_klines,premiumIndexKlines,reference_kline,XRPUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/premiumIndexKlines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/premiumIndexKlines/XRPUSDT/1m/2024/01/XRPUSDT-1m-2024-01.zip,candidate_unverified
8a7b777bede106c951f4,binance,futures/um,um_trade_klines,klines,kline,BTCUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/BTCUSDT/1m/BTCUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/klines/BTCUSDT/1m/2024/01/BTCUSDT-1m-2024-01.zip,candidate_unverified
a3dcebdb847d91b131a3,binance,futures/um,um_trade_klines,klines,kline,ETHUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/ETHUSDT/1m/ETHUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/klines/ETHUSDT/1m/2024/01/ETHUSDT-1m-2024-01.zip,candidate_unverified
bca88846de289d9084d8,binance,futures/um,um_trade_klines,klines,kline,SOLUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/SOLUSDT/1m/SOLUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/klines/SOLUSDT/1m/2024/01/SOLUSDT-1m-2024-01.zip,candidate_unverified
e1129c072627ba8793e8,binance,futures/um,um_trade_klines,klines,kline,XRPUSDT,1m,monthly,2024-01-01,2024-01-31,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip,https://data.binance.vision/data/futures/um/monthly/klines/XRPUSDT/1m/XRPUSDT-1m-2024-01.zip.CHECKSUM,binance/futures/um/klines/XRPUSDT/1m/2024/01/XRPUSDT-1m-2024-01.zip,candidate_unverified
